ID;Количество комнат;Новостройка/вторичка;Метро;Время до метро;Способ;Адрес;Площадь, м2;Этаж;Этажей;Тип дома;Цена (руб);Описание;Окна;Санузел;Год постройки;Балкон;Лифт;Ссылка на объявление
156110298;1;новостройка;м.Бунинскаяаллея;5;транспортом;Москва, Сосенское поселение, улица Александры Монаховой, 5к1;23.0;5;18;Монолитный;3038300;Новостройка Продается 1комн. квра площадью 23 кв.м, Корпус 1.41, Секция 2  5 этаж 18этажного дома в ЖК Бунинские луга от ГК ПИК. Жилой район Бунинские луга расположен в новой Москве, в 1 км от метро Бунинская аллея. Его окружает сразу несколько обустроенных парков и прудов. Строительство района подразумевает поэтапное возведение современных жилых домов и всей инфраструктуры. Первая очередь строительства уже завершена. Открыли свои двери детский сад и школа. Всего в рамках проекта будет построено 4 школы, 5 детских садов, а также поликлиники, физкультурнооздоровительный центр и многое другое. Неподалёку находятся ТРЦ Мега, гипермаркеты Ашан, , магазин . 25.04, 28 фото;14.1;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/156110298
154644642;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 4;25.2;2;21;Монолитно-кирпичный;3041640;Продается 1комн. квра площадью 25,2 кв.м на 2 этаже 21 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод  ..., 21 фото;11.7;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/154644642
153051900;1;новостройка;м.Саларьево;1;пешком;Москва, Московский поселение, д. Саларьево, улица Картмазовская, 46;19.3;11;25;Монолитный;3041680;Новостройка Продается 1комн. квра площадью 19,3 кв.м, Корпус 5, Секция 5  11 этаж 25этажного дома в ЖК Саларьево Парк от ГК ПИК. Жилой район Саларьево Парк расположен на югозападе Москвы рядом с метро Саларьево. Масштабная концепция развития района предусматривает возведение современных жилых домов и всей необходимой инфраструктуры в несколько очередей. Для жителей района планируется строительство детских садов, школ, поликлиник и паркингов. В зелёных дворахпарках без автомобилей будут обустроены детские и спортивные площадки, а также места для отдыха. На первых этажах домов разместятся магазины и предприятия сферы услуг. В пяти минутах езды расположены крупные торговые центры. В шаговой доступности от района находятся Ульяновское лесничество и река Сетунь. 25.04, 12 фото;7.7;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/153051900
156388046;1;новостройка;м.Саларьево;10;пешком;Москва, Сосенское поселение, улица Николо-Хованская, 9;31.0;2;15;Монолитно-кирпичный;3055200;Продается 1к квартира на 2м этаже 15этажного дома в корпусе 7.1 в ЖК Испанские кварталы. Самая низкая цена в Новой Москве Центр Новой Москвы, 4,7 км от МКАД. В жилом комплексе комфорткласса монолитнокирпичные дома, приватные дворовые территории, большие окна и потолки 3 метра, пешеходный бульвар с магазинами и ресторанами, школа, детские сады, спорткомплекс с бассейном, наземный паркинг. Въезд в Москву на автомобиле возможен как с Киевского, так и с Калужского шоссе, быстрый доступ до трех веток метро, 13 мин пешком до м. Прокшино. Ключи  в 2019 году. Ипотека в ведущих российских банках, рассрочка от застройщика АО А101 ДЕВЕЛОПМЕНТ. ФЗ214, 5 фото;На улицу;Раздельный (1);2019;;да;;https://www.cian.ru/sale/flat/156388046
156453399;1;вторичка;м.Саларьево;35;транспортом;Москва, Новофедоровское поселение, д. Яковлевское, 21;30.2;3;5;;3100000;г.Москва,Троицкий АО,д.Яковлевское ,что в 35  км от МКАДа по скоростному Киевскому шоссе. В продаже1я квартира находится на 3 м этаже 5ти этажного серийного киртпичного дома, общая площадь квартиры 30,2  м.кв., комната 17 м.кв., кухня 6  м.кв., су совмещенный. Квартира сухая, теплая. Квартира более 3х лет в собственности.2 собственника .БЫСТРЫЙ ВЫХОД НА  СДЕЛКУ ОПЕРАТИВНЫЙ ПОКАЗ Прописка московская. Льготы. Карта москвича.На территории поселка Два детских садаОбщеобразовательная школа  1391ПоликлиникаАдминистративные учрежденияТорговые центры, сетевые магазины Дикси, Пятерочка, Магнит Дом культурыПарк Сосны спортивные и детски площадки, велодорожки, рекреационная зонаТранспортная доступность  от м. Саларьево или м. ЮгоЗападная автобусы, маршрутки 1002,309 Либо от м. Киевская на электричке до ост. Рассудово.Перспективное развитие территорийАгент Зеленкова Карина Анатольевна была на объекте и с легкостью ответит на все вопросы., 13 фото;18;На улицу;Совмещенный (1);;да;;https://www.cian.ru/sale/flat/156453399
156217722;1;вторичка;;не указано;не указано;Москва, Щаповское поселение, пос. Щапово, 59;51.0;4;9;;3100000;Квартира продается со свидетельством. С Покупателем заключается договор куплипродажи. В квартире свободная планировка. Есть возможность организовать пространство в виде 2 комнат и раздельного сан узла., 4 фото;23;На улицу;;;да;Да;https://www.cian.ru/sale/flat/156217722
154645926;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 3;25.5;2;24;Монолитно-кирпичный;3113550;Продается 1комн. квра площадью 25,5 кв.м на 2 этаже 24 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод  ..., 21 фото;Во двор;Совмещенный (1);2017;;да;;https://www.cian.ru/sale/flat/154645926
156386868;1;новостройка;м.Саларьево;10;пешком;Москва, Сосенское поселение, улица Николо-Хованская, 15;31.0;9;9;Монолитно-кирпичный;3127400;Продается 1к квартира на 9м этаже 9этажного дома в корпусе 13.1 в ЖК Испанские кварталы. Самая низкая цена в Новой Москве Центр Новой Москвы, 4,7 км от МКАД. В жилом комплексе комфорткласса монолитнокирпичные дома, приватные дворовые территории, большие окна и потолки 3 метра, пешеходный бульвар с магазинами и ресторанами, школа, детские сады, спорткомплекс с бассейном, наземный паркинг. Въезд в Москву на автомобиле возможен как с Киевского, так и с Калужского шоссе, быстрый доступ до трех веток метро, 13 мин пешком до м. Прокшино. Ключи  в 2018 году. Ипотека в ведущих российских банках, рассрочка от застройщика АО А101 ДЕВЕЛОПМЕНТ. ФЗ214, 4 фото;Во двор;Раздельный (1);2018;;да;;https://www.cian.ru/sale/flat/156386868
154645717;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 4;26.4;3;11;Монолитно-кирпичный;3133680;Продается 1комн. квра площадью 26,4 кв.м на 3 этаже 11 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод  ..., 21 фото;11.6;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/154645717
153051830;1;новостройка;м.Алтуфьево;20;транспортом;Москва, 2-й мкр, к6;27.7;2;16;Монолитный;3155030;Новостройка Продается 1комн. квра площадью 27,7 кв.м, Корпус 10, Секция 1  2 этаж 16этажного дома в Мкрн Северный от ГК ПИК. Микрорайон Северный расположен справа от Дмитровского шоссе, в полутора километрах от МКАД. Административно микрорайон входит в состав столицы. При этом он достаточно удален от шумного города и находится в окружении красивых природных зон. Поэтому жильцы смогут наслаждаться живописным видом, который открывается из окон. Чтобы отдохнуть на природе, не нужно далеко ехать  все находится рядом. Владельцы квартир в новостройках будут обеспечены всеми необходимыми для комфортной жизни объектами инфраструктуры. В частности, здесь будет работать школа, детские сады, бизнеспарк, спортивные площадки, подземный паркинг. Инфраструктура спланирована таким образом, чтобы жители не нуждались ни в чем. Рядом с микрорайоном расположены развлекательные и торговые объекты, магазины. 25.04, 8 фото;10.9;Во двор;Совмещенный (1);2019;да;;https://www.cian.ru/sale/flat/153051830
155142224;1;новостройка;м.Саларьево;1;пешком;Москва, Московский поселение, д. Саларьево, улица Картмазовская, 46;20.1;3;25;Монолитный;3159720;Новостройка Продается 1комн. квра площадью 20,1 кв.м, Корпус 5, Секция 3  3 этаж 25этажного дома в ЖК Саларьево Парк от ГК ПИК. Жилой район Саларьево Парк расположен на югозападе Москвы рядом с метро Саларьево. Масштабная концепция развития района предусматривает возведение современных жилых домов и всей необходимой инфраструктуры в несколько очередей. Для жителей района планируется строительство детских садов, школ, поликлиник и паркингов. В зелёных дворахпарках без автомобилей будут обустроены детские и спортивные площадки, а также места для отдыха. На первых этажах домов разместятся магазины и предприятия сферы услуг. В пяти минутах езды расположены крупные торговые центры. В шаговой доступности от района находятся Ульяновское лесничество и река Сетунь. 25.04, 12 фото;7.3;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/155142224
154958564;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 4;22.8;9;11;Монолитно-кирпичный;3160080;Продается 1комн. квра площадью 22,8 кв.м на 9 этаже 11 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод  ..., 21 фото;10.9;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/154958564
156201632;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 4;26.2;10;11;Монолитно-кирпичный;3170200;Продается 1комн. квра площадью 26,2 кв.м на 10 этаже 11 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод ..., 21 фото;Во двор;Совмещенный (1);2018;;да;;https://www.cian.ru/sale/flat/156201632
156075764;1;новостройка;м.Саларьево;1;пешком;Москва, Московский поселение, д. Саларьево, улица Картмазовская, 46;23.2;1;25;Монолитный;3171440;Новостройка Продается 1комн. квра площадью 23,2 кв.м, Корпус 7, стр. 2, Секция 6  1 этаж 25этажного дома в ЖК Саларьево Парк от ГК ПИК. Жилой район Саларьево Парк расположен на югозападе Москвы рядом с метро Саларьево. Масштабная концепция развития района предусматривает возведение современных жилых домов и всей необходимой инфраструктуры в несколько очередей. Для жителей района планируется строительство детских садов, школ, поликлиник и паркингов. В зелёных дворахпарках без автомобилей будут обустроены детские и спортивные площадки, а также места для отдыха. На первых этажах домов разместятся магазины и предприятия сферы услуг. В пяти минутах езды расположены крупные торговые центры. В шаговой доступности от района находятся Ульяновское лесничество и река Сетунь. 25.04, 12 фото;7.3;Во двор;Совмещенный (1);2019;да;;https://www.cian.ru/sale/flat/156075764
154645839;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 3;26.1;10;17;Монолитно-кирпичный;3176370;Продается 1комн. квра площадью 26,1 кв.м на 10 этаже 17 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод ..., 21 фото;14.4;Во двор;Совмещенный (1);2017;да;;https://www.cian.ru/sale/flat/154645839
154430246;1;вторичка;м.Беляево;11;пешком;Москва, Профсоюзная улица, 69;17.8;2;15;;3189226;ЖК Дом на Профсоюзной. Лучшая стоимость в Старой Москве комфортная студия с новой отделкой в 10минутной шаговой доступности от м.Калужская и м.Беляево. Новый дом. Сложившийся район и развитая инфраструктура в шаговой доступности школы, детские сады, рестораны, торговые центры, поликлиники.  Весной особые условия скидки до 5 цена указана с учетом скидки., 4 фото;12;Раздельный (1);1973;;да;Нет;https://www.cian.ru/sale/flat/154430246
156394528;1;новостройка;м.Саларьево;1;пешком;Москва, Московский поселение, д. Саларьево, улица Картмазовская, 46;23.0;9;25;Монолитный;3194700;Новостройка Продается 1комн. квра площадью 23 кв.м, Корпус 7, стр. 2, Секция 6  9 этаж 25этажного дома в ЖК Саларьево Парк от ГК ПИК. Жилой район Саларьево Парк расположен на югозападе Москвы рядом с метро Саларьево. Масштабная концепция развития района предусматривает возведение современных жилых домов и всей необходимой инфраструктуры в несколько очередей. Для жителей района планируется строительство детских садов, школ, поликлиник и паркингов. В зелёных дворахпарках без автомобилей будут обустроены детские и спортивные площадки, а также места для отдыха. На первых этажах домов разместятся магазины и предприятия сферы услуг. В пяти минутах езды расположены крупные торговые центры. В шаговой доступности от района находятся Ульяновское лесничество и река Сетунь. 25.04, 12 фото;7.7;Во двор;Совмещенный (1);2019;да;;https://www.cian.ru/sale/flat/156394528
156394461;1;новостройка;м.Алтуфьево;20;транспортом;Москва, 2-й мкр, к6;28.0;14;16;Монолитный;3197600;Новостройка Продается 1комн. квра площадью 28 кв.м, Корпус 10, Секция 6  14 этаж 16этажного дома в Мкрн Северный от ГК ПИК. Микрорайон Северный расположен справа от Дмитровского шоссе, в полутора километрах от МКАД. Административно микрорайон входит в состав столицы. При этом он достаточно удален от шумного города и находится в окружении красивых природных зон. Поэтому жильцы смогут наслаждаться живописным видом, который открывается из окон. Чтобы отдохнуть на природе, не нужно далеко ехать  все находится рядом. Владельцы квартир в новостройках будут обеспечены всеми необходимыми для комфортной жизни объектами инфраструктуры. В частности, здесь будет работать школа, детские сады, бизнеспарк, спортивные площадки, подземный паркинг. Инфраструктура спланирована таким образом, чтобы жители не нуждались ни в чем. Рядом с микрорайоном расположены развлекательные и торговые объекты, магазины. 25.04, 8 фото;13.6;Во двор;Совмещенный (1);2019;да;;https://www.cian.ru/sale/flat/156394461
149966909;1;вторичка;;не указано;не указано;Москва, Киевский пгт, 17;30.0;9;9;;3200000;Московская прописка Свободная продажа, готовы к сделке г. Москва, Троицкий ао, пос.Киевский, что в 40 км от мкада по скоростному Киевскому шоссе. От м.Саларьево 2530 минут езды на автобусе 1002 льготный проезд, карта Тройка либо автобусе 309 льготный проезд для пенсионеров.В продаже однокомнатная квартира на 9м этаже 9ти этажного серийного панельного дома Общая площадь 28,6 м.кв Жилая площадь 16 м.кв Кухня 6,5 м.кв Санузел совмещенный Балкон остеклен.Пассажирский лифт.Квартира менее 3х  лет в собственности, 1 взрослый собственник. Документ основания Договор купли продажи. В квартире прописанных нет.Быстрый выход на сделку Оперативный показ сотрудниками Бюро Недвижимости ИПОМАКС Прописка. Льготы московские. действует Карта москвича. На территории поселка Два детских сада Общеобразовательная школа 1391 Поликлиника Торговые центры Дом культуры, построенный в 2016 году Спортивный комплекс Локофитнес с тренажерами, спортивными секциями, бассейном. Боулинг Транспортная доступн ..., 9 фото;18;На улицу;Совмещенный (1);;да;Да;https://www.cian.ru/sale/flat/149966909
156522473;1;вторичка;м.Щелковская;25;пешком;Москва, Хабаровская улица, 9;21.0;2;9;;3200000;Добротный кирпичный дом, малогабаритная ,уютная квартира с хорошей эргономикой. Окна во двор, чистый подъезд, тихий зелёный двор, до метро пешком. Документы более 3 лет, полная стоимость в договоре, оперативный показ и быстрый выход на сделку., 3 фото;13;Во двор;Совмещенный (1);;да;Да;https://www.cian.ru/sale/flat/156522473
156388913;1;новостройка;м.Саларьево;10;пешком;Москва, Сосенское поселение, улица Николо-Хованская, 14;35.0;2;9;Монолитно-кирпичный;3203500;Продается 1к квартира на 2м этаже этажного дома в корпусе 14.1 в ЖК Испанские кварталы. Самая низкая цена в Новой Москве Центр Новой Москвы, 4,7 км от МКАД. В жилом комплексе комфорткласса монолитнокирпичные дома, приватные дворовые территории, большие окна и потолки 3 метра, пешеходный бульвар с магазинами и ресторанами, школа, детские сады, спорткомплекс с бассейном, наземный паркинг. Въезд в Москву на автомобиле возможен как с Киевского, так и с Калужского шоссе, быстрый доступ до трех веток метро, 13 мин пешком до м. Прокшино. Ключи  в 2019 году. Ипотека в ведущих российских банках, рассрочка от застройщика АО А101 ДЕВЕЛОПМЕНТ. ФЗ214, 5 фото;На улицу;Раздельный (1);2019;;да;;https://www.cian.ru/sale/flat/156388913
154645595;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 3;26.5;4;24;Монолитно-кирпичный;3233000;Продается 1комн. квра площадью 26,5 кв.м на 4 этаже 24 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод  ..., 21 фото;14.6;Во двор;Совмещенный (1);2017;да;;https://www.cian.ru/sale/flat/154645595
156388965;1;новостройка;м.Саларьево;10;пешком;Москва, Сосенское поселение, улица Николо-Хованская, 14;34.0;4;9;Монолитно-кирпичный;3243100;Продается 1к квартира на 4м этаже этажного дома в корпусе 14.1 в ЖК Испанские кварталы. Самая низкая цена в Новой Москве Центр Новой Москвы, 4,7 км от МКАД. В жилом комплексе комфорткласса монолитнокирпичные дома, приватные дворовые территории, большие окна и потолки 3 метра, пешеходный бульвар с магазинами и ресторанами, школа, детские сады, спорткомплекс с бассейном, наземный паркинг. Въезд в Москву на автомобиле возможен как с Киевского, так и с Калужского шоссе, быстрый доступ до трех веток метро, 13 мин пешком до м. Прокшино. Ключи  в 2019 году. Ипотека в ведущих российских банках, рассрочка от застройщика АО А101 ДЕВЕЛОПМЕНТ. ФЗ214, 5 фото;На улицу;Раздельный (1);2019;;да;;https://www.cian.ru/sale/flat/156388965
154645925;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 3;26.8;2;24;Монолитно-кирпичный;3245480;Продается 1комн. квра площадью 26,8 кв.м на 2 этаже 24 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод  ..., 21 фото;13;Во двор;Совмещенный (1);2017;да;;https://www.cian.ru/sale/flat/154645925
153997539;1;новостройка;м.Бунинскаяаллея;7;транспортом;Москва, Сосенское поселение, улица Александры Монаховой, 10;33.0;2;16;Монолитный;3249796;Продается 1к квартира на 2м этаже 16этажного дома в корпусе 10.1 в ЖК Скандинавия. Центр Новой Москвы, 6,5 км от МКАД, благоустроенный вход в Бутовский лесопарк, водоемы, многовековые дубы на территории ЖК. Детские сады, школы и собственный парк отдыха в сказочном скандинавском стиле, для взрослых  баня, беседки для барбекю и велодорожки. Въезд в Москву на автомобиле  с Киевского, Варшавского и Калужского шоссе, быстрый доступ до трех веток метро, 15 мин. до м Теплый стан, Бунинская аллея, Саларьево. Окончание строительства  в 2019 году. Рассрочка от застройщика АО А101 ДЕВЕЛОПМЕНТ. ФЗ214, 4 фото;На улицу;Раздельный (1);2019;;да;;https://www.cian.ru/sale/flat/153997539
156514099;1;вторичка;;не указано;не указано;Москва, Киевский пгт, 16;39.0;6;9;;3250000;г.Москва,Троицкий АО, п.Киевский, что в 38  км от МКАДа по скоростному Киевскому шоссе. В продаже1я квартира находится на 6 м этаже 9ти этажного серийного панельного дома, общая площадь квартиры 39  м.кв., комната 18,3  м.кв., кухня 9  м.кв., су совмещенный, лоджия. Квартира сухая, теплая. Шикарный вид из окна на пруд. Квартира более 3х лет в собственности. БЫСТРЫЙ ВЫХОД НА СДЕЛКУ ОПЕРАТИВНЫЙ ПОКАЗ Прописка московская. Льготы. Карта москвича.На территории поселка Два детских сада Общеобразовательная школа  1391 Поликлиника Административные учрежденияТорговые центры, сетевые магазины Дикси, Пятерочка, Магнит Дом культуры Спортивный комплекс Локофитнес с тренажерами, спортивными секциями, бассейном.  Боулинг  ж, д станция Киевский Транспортная доступность  от м. Саларьево или м. ЮгоЗападная автобусы, маршрутки 1002,309 Либо от м. Киевская на электричке до ост. Рассудово.Перспективное развитие территорийАгент Харламова Ирина была на объекте и быстро, п ..., 8 фото;18,3;На улицу;Совмещенный (1);;да;Да;https://www.cian.ru/sale/flat/156514099
156388972;1;новостройка;м.Саларьево;10;пешком;Москва, Сосенское поселение, улица Николо-Хованская, 14;33.0;6;9;Монолитно-кирпичный;3252300;Продается 1к квартира на 6м этаже этажного дома в корпусе 14.1 в ЖК Испанские кварталы. Самая низкая цена в Новой Москве Центр Новой Москвы, 4,7 км от МКАД. В жилом комплексе комфорткласса монолитнокирпичные дома, приватные дворовые территории, большие окна и потолки 3 метра, пешеходный бульвар с магазинами и ресторанами, школа, детские сады, спорткомплекс с бассейном, наземный паркинг. Въезд в Москву на автомобиле возможен как с Киевского, так и с Калужского шоссе, быстрый доступ до трех веток метро, 13 мин пешком до м. Прокшино. Ключи  в 2019 году. Ипотека в ведущих российских банках, рассрочка от застройщика АО А101 ДЕВЕЛОПМЕНТ. ФЗ214, 5 фото;На улицу;Раздельный (1);2019;;да;;https://www.cian.ru/sale/flat/156388972
